Date,Open,High,Low,Close,Volume
2012-05-18,41.683951746080545,44.60827259469764,37.66920796885579,37.8972053527832,573576400
2012-05-21,36.212001928669224,36.340871326058476,32.712732099058826,33.7337646484375,168192700
2012-05-22,32.32612802343342,33.29759659357449,30.670665427450363,30.73014259338379,101786600
2012-05-23,31.096918746675897,32.21708104014397,31.08700557177417,31.721433639526367,73600000
2012-05-24,32.6631681608809,32.92090317457285,31.493439860261315,32.742469787597656,50237200
2012-05-25,32.61360487134673,32.66316886179454,30.839186030288698,31.632221221923828,37149800
2012-05-29,31.20596334918865,31.414136263717317,28.400598826267057,28.588945388793945,78063400
2012-05-30,28.450165519686994,29.292764705658225,27.61747761925503,27.944604873657227,57267900
2012-05-31,28.301470099447457,29.41172127667949,26.596443464112802,29.342330932617188,111639200
2012-06-01,28.63850807742337,28.896244969506256,27.151565778230133,27.47869300842285,41855500
2012-06-04,26.963222124956083,27.409303696975865,26.209837771589473,26.66583251953125,35230300
2012-06-05,26.467574886871084,27.51834696339535,25.52584396487854,25.644800186157227,42473400
2012-06-06,25.84305641830239,26.933481130663242,25.2978450074944,26.576614379882812,61489200
2012-06-07,26.764960924725553,27.111914500046897,25.922359924872257,26.08096694946289,26159500
2012-06-08,26.31887668107013,27.51834439492468,26.209835536715946,26.864089965820312,38034000
2012-06-11,26.943395850537318,27.82564771193513,26.606355431200964,26.77487564086914,28219600
2012-06-12,27.240783466520206,27.528259895798563,26.725309663448996,27.161479949951172,15816800
2012-06-13,27.41921237605496,27.85538259136435,26.864087850680527,27.032608032226562,17102800
2012-06-14,27.40930171161467,28.07346932432011,27.141651653342738,28.043731689453125,16855000
2012-06-15,28.261816059001518,29.837975002721937,28.103209036177,29.74875831604004,43563800
2012-06-18,29.699191739270383,31.800739468994816,29.153980347512388,31.13656997680664,42978900
2012-06-19,31.26544315482197,31.899871308130077,30.43275525823256,31.632221221923828,30849000
2012-06-20,31.64213088099386,31.652044056130535,30.878833412173424,31.32491683959961,15553600
2012-06-21,31.394309761594194,32.21708445828364,31.235702727828397,31.562829971313477,21875300
2012-06-22,32.12786291530234,33.15881036988924,31.780911263032415,32.762290954589844,74834000
