Date,Open,High,Low,Close,Volume
1980-03-17,1.0291262969909536,1.0519113900777426,1.0291262969909536,1.032923698425293,62775
1980-03-18,1.0329243534764576,1.0481144577617694,1.0329243534764576,1.0405193567276,64125
1980-03-19,1.0481140044359751,1.059506602168238,1.0481140044359751,1.0557090044021606,40500
1980-03-20,1.0557095420267226,1.0557095420267226,1.0443171340587964,1.048114538192749,18900
1980-03-21,1.0481137763459145,1.0708987712860107,1.0481137763459145,1.0708987712860107,97200
1980-03-24,1.063304295181047,1.063304295181047,1.0443168878555298,1.0443168878555298,90450
1980-03-25,1.0443170539192248,1.0481144577617694,1.0367219528850555,1.0405193567276,72225
1980-03-26,1.0405194365757413,1.0557095420267226,1.0329244327417677,1.048114538192749,31725
1980-03-27,1.0443170539192248,1.0443170539192248,1.01013934372303,1.0405193567276,62100
1980-03-28,1.0405188067884725,1.0405188067884725,1.0101388098404587,1.0291264057159424,84375
1980-03-31,1.0405188412428972,1.0633039374913593,1.0405188412428972,1.0595065355300903,55350
1980-04-01,1.0595071417267434,1.0784946513116773,1.0405194365757413,1.048114538192749,126225
1980-04-02,1.0557085721697588,1.0860886573791504,1.0557085721697588,1.0860886573791504,58725
1980-04-03,1.1088741609229684,1.139254455752414,1.1088741609229684,1.1278618574142456,311175
1980-04-07,1.127861682062224,1.1544443747907298,1.1240640846845986,1.1354566812515259,115425
1980-04-08,1.1278615011420299,1.1278615011420299,1.116468906402588,1.116468906402588,218025
1980-04-09,1.1088738996809557,1.1088738996809557,1.0784939053577678,1.1012789011001587,181575
1980-04-10,1.1012788756594496,1.1316591626297203,1.1012788756594496,1.1240639686584473,191700
1980-04-11,1.1240639686584473,1.1468492572233737,1.1202665672387393,1.1240639686584473,112050
1980-04-14,1.1240641973506802,1.1240641973506802,1.1126717952078298,1.1202667951583862,18900
1980-04-15,1.1126717723145654,1.1126717723145654,1.0936840772628784,1.0936840772628784,63450
1980-04-16,1.1012786840825692,1.1126713752746582,1.1012786840825692,1.1126713752746582,30375
1980-04-17,1.1050766747372942,1.1050766747372942,1.089886675148716,1.0936840772628784,43875
1980-04-18,1.0936836542357622,1.1050762473036242,1.0860886573791504,1.0860886573791504,27675
1980-04-21,1.0822916317785525,1.0822916317785525,1.04811393851437,1.0595065355300903,83700
1980-04-22,1.0595065781885775,1.0936840772628784,1.0481139807141617,1.0936840772628784,122850
1980-04-23,1.0936840772628784,1.0936840772628784,1.0671015779828668,1.0936840772628784,132300
1980-04-24,1.0936836542357622,1.0936836542357622,1.0708985658829824,1.0860886573791504,209250
1980-04-25,1.0822914643219852,1.0822914643219852,1.067101369912291,1.0708987712860107,21600
1980-04-28,1.082291675354427,1.1012790770571674,1.082291675354427,1.0936840772628784,141750
1980-04-29,1.0936843673313457,1.1012793691399916,1.0898869642100308,1.0974819660186768,45225
1980-04-30,1.0974817985827046,1.1126718976655456,1.0860891998248257,1.1088742017745972,85050
1980-05-01,1.1126718566740073,1.135456857784365,1.1126718566740073,1.1278618574142456,48600
1980-05-02,1.1278614984578372,1.146849188906038,1.1202665005049235,1.139254093170166,49950
1980-05-05,1.1544450670199138,1.2000151872634888,1.1544450670199138,1.2000151872634888,621675
1980-05-06,1.2000150168598798,1.2228001226376708,1.1810274124145508,1.1810274124145508,143775
1980-05-07,1.1810275801218966,1.2152052925333692,1.1810275801218966,1.2000151872634888,483975
1980-05-08,1.2000145384814138,1.211406940154269,1.188621941242598,1.1962169408798218,36450
1980-05-09,1.1886221170425415,1.1886221170425415,1.1734320177384634,1.1886221170425415,24975
1980-05-12,1.1886224664653802,1.1886224664653802,1.1582423567092883,1.18482506275177,27000
1980-05-13,1.184825011530032,1.1962174177443987,1.1734323119666077,1.1810274124145508,40500
1980-05-14,1.18482506275177,1.2000150687383042,1.18482506275177,1.18482506275177,61425
1980-05-15,1.184825011530032,1.192420014194956,1.1734323119666077,1.1810274124145508,37125
1980-05-16,1.1810272629291347,1.1810272629291347,1.169634760373725,1.1772297620773315,11475
1980-05-19,1.1772297361764927,1.215204939425027,1.1772297361764927,1.2038122415542603,51300
1980-05-20,1.2038124204093226,1.2038124204093226,1.1810274124145508,1.1810274124145508,85725
1980-05-21,1.1810274508538348,1.1848250500929176,1.1658373472465706,1.1734323501586914,40500
1980-05-22,1.1734323626958225,1.1924200657450372,1.1620399559889452,1.18482506275177,143775
1980-05-23,1.1886225838653202,1.2076101910069124,1.1886225838653202,1.2000151872634888,113400
1980-05-27,1.2000147159663488,1.2000147159663488,1.1886221170425415,1.1886221170425415,57375
1980-05-28,1.1924194173278468,1.2076094150543213,1.1924194173278468,1.2076094150543213,135000
1980-05-29,1.2076095281097312,1.2114069301138892,1.1734318344595356,1.1924195289611816,108675
1980-05-30,1.1886221170425415,1.1886221170425415,1.1658370169779215,1.1886221170425415,80325
1980-06-02,1.1886224150794749,1.2038124204093226,1.1734323119666077,1.1810274124145508,107325
1980-06-03,1.1810271162819999,1.1924197152058071,1.1772296159017288,1.1886221170425415,101250
1980-06-04,1.1886223777857474,1.2190024852752686,1.1848249743554504,1.2190024852752686,143100
1980-06-05,1.2190029550876305,1.2303955609013766,1.2152055501937866,1.2152055501937866,95850
1980-06-06,1.215204755279954,1.2759648561477661,1.2114070595211732,1.2759648561477661,205875
1980-06-09,1.241788166715123,1.241788166715123,1.2076104470569378,1.2152055501937866,150525
1980-06-10,1.2152054766064084,1.2379904912880355,1.2038127736994992,1.2341930866241455,110700
1980-06-11,1.234192808434982,1.2835604269006766,1.2228002058790326,1.256977915763855,140400
1980-06-12,1.253180980682373,1.253180980682373,1.2228008540674997,1.253180980682373,178200
1980-06-13,1.2531804560276758,1.3063455820083618,1.2531804560276758,1.3063455820083618,196425
1980-06-16,1.291155804634158,1.291155804634158,1.2531806799251788,1.2607756853103638,298350
1980-06-17,1.2607756853103638,1.2607756853103638,1.2455855767569397,1.2607756853103638,344250
1980-06-18,1.2607756037527105,1.2607756037527105,1.226597886164174,1.2341930866241455,129600
1980-06-19,1.2265970270454183,1.2265970270454183,1.1810269318167899,1.1924195289611816,83025
1980-06-20,1.1924200657450372,1.2000150687383042,1.1772299619754796,1.18482506275177,207225
1980-06-23,1.184825011530032,1.2038124204093226,1.1658373093016838,1.1810274124145508,557550
1980-06-24,1.1848254309955528,1.2152055501937866,1.1848254309955528,1.2152055501937866,174150
1980-06-25,1.2152050818449716,1.2228000842715978,1.203812382639,1.2190024852752686,294300
1980-06-26,1.2190029550876305,1.2228005555475816,1.2114078519507816,1.2152055501937866,791775
1980-06-27,1.2152050818449716,1.2228000842715978,1.2114073850656262,1.2190024852752686,104625
1980-06-30,1.2190029550876305,1.2228005555475816,1.1924204363493478,1.2152055501937866,85050
1980-07-01,1.2152055501937866,1.2190029550876305,1.2038128465969866,1.2152055501937866,89100
1980-07-02,1.2152050818449716,1.2190024852752686,1.2076099816353292,1.2190024852752686,89100
1980-07-03,1.2190022987785787,1.2227998971939087,1.2152048959292512,1.2227998971939087,550125
1980-07-07,1.2227998971939087,1.2303948984585662,1.2152048959292512,1.2227998971939087,144450
1980-07-08,1.2227998971939087,1.2303948984585662,1.2114071997309201,1.2227998971939087,148500
