Date,Open,High,Low,Close,Volume
1962-01-02,0.057054828852415085,0.058969594044318056,0.057054828852415085,0.057054828852415085,841958
1962-01-03,0.05705482262434446,0.05801220282808713,0.05705482262434446,0.057820603251457214,801865
1962-01-04,0.05782060325145721,0.05801220282808713,0.057438021777604306,0.057820603251457214,962238
1962-01-05,0.05782061023290403,0.05820380943243258,0.05762962373721771,0.058012209832668304,962238
1962-01-08,0.05801220282808713,0.0587779880306029,0.05667223657508854,0.057820603251457214,1282984
1962-01-09,0.05782061370009598,0.05896959826350212,0.05743803215710759,0.05896959826350212,641492
1962-01-10,0.0589695887450617,0.0599269689672772,0.0589695887450617,0.05954376980662346,681585
1962-01-11,0.05954374916781692,0.061650113037878804,0.059352762757704715,0.06126691401004791,2004663
1962-01-12,0.06126694117524305,0.06145854077411198,0.0585870083581854,0.05935278907418251,2004663
1962-01-15,0.05935278907418251,0.059735375167845293,0.058969594451848184,0.05935278907418251,641492
1962-01-16,0.05896958760723282,0.05896958760723282,0.057438021777604306,0.057820603251457214,360839
1962-01-17,0.05782063409058101,0.05782063409058101,0.05590648576617241,0.05590648576617241,400933
1962-01-18,0.05628904356630666,0.057438028047504724,0.05628904356630666,0.057054828852415085,320746
1962-01-19,0.05743805030755809,0.05820383131504058,0.05743805030755809,0.05820383131504059,441026
1962-01-22,0.058587023578419356,0.059161204844713204,0.058587023578419356,0.05916120484471321,360839
1962-01-23,0.05916119329935176,0.06050116436989665,0.05858701214510989,0.05896959826350212,1202798
1962-01-24,0.05896961689792837,0.05896961689792837,0.05743805030755809,0.05820383131504059,360839
1962-01-25,0.0582038191368018,0.058395418768511634,0.05743803828954697,0.05743803828954697,160373
1962-01-26,0.057438028047504724,0.05820380875820963,0.057054828852415085,0.057054828852415085,360839
1962-01-29,0.057054828852415085,0.05782060956312,0.057054828852415085,0.057054828852415085,240560
1962-01-30,0.0570548390261273,0.05762963334585247,0.056672252866887804,0.05743803828954697,681585
1962-01-31,0.05743803828954697,0.05762963334585247,0.0570548390261273,0.05743803828954697,320746
1962-02-01,0.05743805030755809,0.059161211994322144,0.05743805030755809,0.05820383131504059,1282984
